img_name,R,G,B
image2.jpg,146,204,224
image2.jpg,146,204,224
image2.jpg,146,204,226
image2.jpg,147,205,227
image2.jpg,147,203,226
image2.jpg,148,203,224
image2.jpg,148,203,224
image2.jpg,149,204,225
image2.jpg,150,205,226
image2.jpg,151,206,227
image2.jpg,151,206,227
image2.jpg,147,209,224
image2.jpg,148,210,225
image2.jpg,149,211,226
image2.jpg,148,211,226
image2.jpg,147,210,225
image2.jpg,147,211,223
image2.jpg,147,211,223
image2.jpg,147,211,223
image2.jpg,147,211,223
image2.jpg,148,212,224
image2.jpg,149,213,225
image2.jpg,150,214,226
image2.jpg,151,213,226
image2.jpg,152,214,227
image2.jpg,152,214,227
image2.jpg,153,215,228
image2.jpg,161,209,232
image2.jpg,162,210,233
image2.jpg,163,211,234
image2.jpg,162,212,235
image2.jpg,162,213,234
image2.jpg,161,213,234
image2.jpg,162,215,233
image2.jpg,161,217,234
image2.jpg,161,217,234
image2.jpg,161,217,234
image2.jpg,162,218,235
image2.jpg,163,219,236
image2.jpg,163,219,236
image2.jpg,164,220,237
image2.jpg,164,220,237
image2.jpg,164,220,237
image2.jpg,165,222,233
image2.jpg,166,223,234
image2.jpg,169,223,235
image2.jpg,172,224,237
image2.jpg,175,224,238
image2.jpg,176,224,238
image2.jpg,175,223,237
image2.jpg,176,222,237
image2.jpg,179,225,238
image2.jpg,178,226,238
image2.jpg,176,226,237
image2.jpg,173,225,236
image2.jpg,173,227,237
image2.jpg,172,229,238
image2.jpg,173,230,239
image2.jpg,172,231,239
image2.jpg,183,222,239
image2.jpg,182,221,238
image2.jpg,182,219,235
image2.jpg,187,220,235
image2.jpg,191,223,234
image2.jpg,201,228,237
image2.jpg,208,231,237
image2.jpg,215,233,237
image2.jpg,220,231,233
image2.jpg,226,232,230
image2.jpg,223,222,218
image2.jpg,225,218,212
image2.jpg,233,220,214
image2.jpg,221,204,196
image2.jpg,191,171,162
image2.jpg,173,150,142
image2.jpg,157,141,125
image2.jpg,141,124,108
image2.jpg,123,104,87
image2.jpg,75,52,34
image2.jpg,71,44,27
image2.jpg,106,75,55
image2.jpg,95,60,40
image2.jpg,79,38,18
image2.jpg,76,31,10
image2.jpg,84,36,13
image2.jpg,85,33,9
image2.jpg,96,40,15
